respondent_id,Geschirrspüler,Backofen und Herd,Fernseher und Entertainment-Systeme,Bürogeräte,Waschmaschine,Staubsauger
118867061539,"Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall"
118867060721,"Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden"
118867051868,"Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden"
118867051937,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867049431,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867048965,"Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden"
118867015928,"Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden"
118867045143,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867046914,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867037998,"Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden"
118867044486,"Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden"
118866955443,"Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden"
118867044801,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867044223,"Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867043137,"Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall"
118867044118,"Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall"
118867043576,"Ja, aber maximal für 3 Stunden",,"Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden"
118867041751,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden"
118867040792,"Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden"
118867041382,"Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden"
118867040503,"Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867040007,"Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867040264,"Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden"
118867038333,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867036887,"Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden"
118867037007,"Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867037498,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867036948,"Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden"
118867037754,"Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden"
118867036605,"Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867035459,"Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden"
118867034269,"Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden"
118867032938,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867030915,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867031622,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden"
118867028646,"Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden"
118867029398,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden"
118867029770,"Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden",
118867026886,"Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden"
118867027259,"Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden"
118867026090,"Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867025702,"Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden"
118867022508,"Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall"
118867024898,"Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden"
118867024317,"Ja, für 3 bis 6 Stunden",,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden"
118867022838,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden"
118867018284,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867014898,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867016042,"Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden"
118867018967,"Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden"
118867019545,"Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden"
118867017445,"Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden"
118867016415,"Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden"
118867015217,"Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden"
118867013213,"Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden"
118867013132,"Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall"
118867012300,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden"
118867013091,"Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867011523,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867010888,"Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden"
118867008679,"Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden"
118867006949,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867006094,"Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden"
118867008529,,,,,,
118867006775,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867003864,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden"
118867004785,"Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall"
118867002893,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118867002033,"Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden"
118867002447,"Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden"
118867000777,"Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866999088,"Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden"
118866997913,"Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866998775,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden"
118866997312,"Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden"
118866993456,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866994852,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall"
118866994419,"Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866996124,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden"
118866995343,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866994047,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866994425,"Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden"
118866992134,"Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall"
118866992596,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden"
118866990024,"Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden"
118866989350,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866989292,"Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden"
118866987521,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866987307,"Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden"
118866990134,,,,,,
118866986337,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866989972,,,,,,
118866984327,"Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden"
118866973987,"Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866983923,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866982200,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden"
118866983403,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866982535,"Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden"
118866979137,"Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866981859,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden"
118866981183,"Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden"
118866979933,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden"
118866979138,"Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden"
118866974650,"Ja, für 6 bis 12 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden"
118866975327,"Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866974083,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866974195,"Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866974381,"Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866975040,"Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden"
118866974076,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866973535,"Ja, für mehr als 24 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden"
118866970685,"Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866971710,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866969397,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden"
118866968787,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
118866969369,"Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden"
118866968347,"Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall"
118866964905,"Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall"
118866959282,"Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden"
