respondent_id,accommodation_type
118866974076,Wohnung (Miete)
118866973535,Wohnung (Miete)
118866970685,Wohnung (Miete)
118866971710,Wohnung (Miete)
118866969397,Wohnung (Miete)
118866968787,Wohnung (Miete)
118866969369,Haus (Miete)
118866968347,Haus (Miete)
118866964905,Wohnung (Miete)
118866959282,Haus (Miete)
118866960887,Wohnung (Eigentum)
118866963297,Wohnung (Miete)
118866960088,Wohnung (Eigentum)
118866962159,Haus (Eigentum)
118866958232,Wohnung (Miete)
118866959132,Wohnung (Miete)
118866959416,Wohnung (Eigentum)
118866953261,Haus (Eigentum)
118866955618,Wohnung (Miete)
118866957825,Haus (Eigentum)
118866958454,Wohnung (Miete)
118866956552,Wohnung (Miete)
118866956915,Haus (Miete)
118866955817,Haus (Eigentum)
118866954185,Haus (Eigentum)
118866951530,Wohnung (Miete)
118866950613,Wohnung (Eigentum)
118866948040,Wohnung (Miete)
118866943584,Haus (Eigentum)
118866946022,Wohnung (Miete)
118866945395,Wohnung (Miete)
118866942004,Wohnung (Miete)
118866945099,Wohnung (Miete)
118866946286,Wohnung (Miete)
118866943931,Wohnung (Miete)
118866943455,Haus (Eigentum)
118866944075,Wohnung (Miete)
118866943226,Wohnung (Eigentum)
118866943215,Wohnung (Miete)
118866943315,Wohnung (Miete)
118866942164,Wohnung (Miete)
118866944373,Wohnung (Miete)
118866941933,Haus (Eigentum)
118866940774,Wohnung (Miete)
118866940556,Wohnung (Eigentum)
118866936324,Wohnung (Miete)
118866939705,Wohnung (Eigentum)
118866938193,Wohnung (Miete)
118866937507,Wohnung (Miete)
118866935766,Wohnung (Miete)
118866937898,Wohnung (Eigentum)
118866936563,Wohnung (Miete)
118866937146,Haus (Eigentum)
118866934905,Wohnung (Miete)
118866936667,Haus (Eigentum)
118866935206,Wohnung (Eigentum)
118866936450,Wohnung (Miete)
118866935483,Wohnung (Miete)
118866936312,Wohnung (Miete)
118866935967,Wohnung (Eigentum)
118866934557,Wohnung (Miete)
118866935058,Wohnung (Miete)
118866928634,Haus (Eigentum)
118866933543,Wohnung (Miete)
118866929307,Wohnung (Miete)
118866933392,Wohnung (Miete)
118866931995,Wohnung (Miete)
118866934042,Wohnung (Miete)
118866935000,Wohnung (Miete)
118866933882,Wohnung (Miete)
118866930245,Haus (Eigentum)
118866930393,Wohnung (Miete)
118866932976,Wohnung (Miete)
118866931782,Wohnung (Miete)
118866930866,Wohnung (Miete)
118866931402,Haus (Eigentum)
118866930240,Wohnung (Miete)
118866930534,Wohnung (Eigentum)
118866928259,Haus (Miete)
118866931009,Wohnung (Miete)
118866928820,Wohnung (Miete)
118866930110,Wohnung (Miete)
118866926962,Wohnung (Miete)
118866926796,Wohnung (Miete)
118866928003,Wohnung (Miete)
118866928061,Wohnung (Miete)
118866807581,Haus (Eigentum)
118866331968,Wohnung (Miete)
118866098373,Wohnung (Miete)
118866070482,Wohnung (Eigentum)
118866049453,Haus (Eigentum)
118865993888,Wohnung (Eigentum)
118865937239,Wohnung (Miete)
118865545609,Wohnung (Miete)
118865337253,Wohnung (Miete)
118864902528,Wohnung (Eigentum)
118864896513,Haus (Eigentum)
118864429794,Wohnung (Miete)
118864377677,Wohnung (Miete)
118864359644,Wohnung (Eigentum)
118864248189,Wohnung (Miete)
118864149111,Wohnung (Eigentum)
118864023864,Wohnung (Miete)
118864004036,Haus (Eigentum)
118863985701,Haus (Eigentum)
118863934625,Wohnung (Miete)
118863922119,Wohnung (Miete)
118863893346,Wohnung (Miete)
118863891002,Wohnung (Miete)
118863872491,Wohnung (Miete)
118863862058,Wohnung (Miete)
118863784974,Haus (Eigentum)
118863593040,Wohnung (Miete)
118863567511,Wohnung (Miete)
118863548745,Wohnung (Miete)
118863432342,Wohnung (Miete)
118863395010,Haus (Eigentum)
118863368596,Wohnung (Miete)
118863364986,Wohnung (Eigentum)
118863351926,Wohnung (Miete)
118863342592,Wohnung (Miete)
118863331096,Wohnung (Miete)
118863327593,Wohnung (Miete)
118863326262,Wohnung (Miete)
118863321869,Haus (Miete)
118863315318,Wohnung (Miete)
118752452689,Wohnung (Miete)
118745041241,Wohnung (Miete)
118745035969,Wohnung (Eigentum)
118745035159,Wohnung (Miete)
118728905344,Wohnung (Miete)
118728041541,Wohnung (Miete)
118725909916,Wohnung (Eigentum)
118725489712,Wohnung (Miete)
118725204330,Haus (Eigentum)
118725167746,Haus (Miete)
118725152865,Haus (Eigentum)
118725110569,Wohnung (Miete)
118723447559,Wohnung (Miete)
118723237756,Wohnung (Miete)
118722584838,Haus (Eigentum)
118722351539,Haus (Eigentum)
118721763559,Wohnung (Miete)
118721723631,Wohnung (Miete)
118721622091,Wohnung (Miete)
118721620651,Haus (Eigentum)
118721595224,Wohnung (Miete)
118721556715,Haus (Eigentum)
118721543449,Wohnung (Miete)
118721499184,Wohnung (Miete)
118721456430,Wohnung (Miete)
118721400034,Wohnung (Miete)
118721395041,Wohnung (Eigentum)
118721391105,Wohnung (Miete)
118721337485,Wohnung (Miete)
118721331365,Haus (Eigentum)
118721328556,Wohnung (Miete)
118721197328,Haus (Miete)
118721153752,Wohnung (Miete)
118721125261,Haus (Eigentum)
118721006467,Haus (Eigentum)
118720956129,Haus (Miete)
118720912499,Wohnung (Miete)
118720905950,Wohnung (Eigentum)
118720902903,Wohnung (Miete)
118720900408,Haus (Eigentum)
118720897761,Haus (Eigentum)
118720897461,Wohnung (Miete)
118720895378,Wohnung (Eigentum)
118720891261,Wohnung (Miete)
118720890752,Wohnung (Eigentum)
118720890310,Haus (Eigentum)
118720887674,Wohnung (Miete)
118720887094,Haus (Miete)
118720882393,Wohnung (Miete)
118720881324,Wohnung (Miete)
118720881244,Haus (Eigentum)
118720880281,Wohnung (Miete)
118720878032,Wohnung (Miete)
118720876610,Wohnung (Miete)
118720875003,Wohnung (Miete)
118720874823,Haus (Miete)
118720874594,Haus (Miete)
118720874067,Wohnung (Miete)
118720873582,Haus (Eigentum)
118720873581,Wohnung (Miete)
118720873448,Wohnung (Miete)
118720872081,Wohnung (Eigentum)
118720872071,Wohnung (Eigentum)
118720869708,Wohnung (Miete)
118720869178,Wohnung (Miete)
118720868828,Wohnung (Miete)
118720617197,Wohnung (Eigentum)
118720359488,Haus (Eigentum)
118720304414,Haus (Eigentum)
118720210295,Wohnung (Miete)
118720095220,Wohnung (Eigentum)
118719940488,Haus (Eigentum)
118719844221,Haus (Eigentum)
118719800343,Wohnung (Miete)
118719787450,Haus (Eigentum)
118719777684,Wohnung (Miete)
118719751123,Haus (Eigentum)
118719745254,Haus (Eigentum)
118719744912,Haus (Miete)
118719740529,Haus (Eigentum)
118719740378,Haus (Eigentum)
118719731879,Wohnung (Miete)
118719723990,Haus (Eigentum)
118719722284,Wohnung (Miete)
118719718843,Haus (Eigentum)
118719706439,Haus (Eigentum)
118719702607,Wohnung (Eigentum)
118719701032,Wohnung (Miete)
118719698162,Wohnung (Miete)
118719690366,Haus (Eigentum)
118719658084,Haus (Miete)
118719657490,Wohnung (Miete)
118719648913,Haus (Eigentum)
118719640453,Haus (Eigentum)
118719638341,Haus (Eigentum)
118719632641,Wohnung (Eigentum)
118719622185,Haus (Eigentum)
118719618428,Haus (Miete)
118719614056,Wohnung (Miete)
118719609522,Wohnung (Miete)
118719608146,Wohnung (Miete)
118719600879,Wohnung (Miete)
118719590338,Wohnung (Miete)
118719585877,Wohnung (Eigentum)
118719585430,Wohnung (Miete)
118719583858,Haus (Eigentum)
118719565260,Wohnung (Eigentum)
118719560234,Haus (Eigentum)
118719559146,Haus (Eigentum)
118719554786,Wohnung (Miete)
118719550176,Haus (Eigentum)
118719549032,Haus (Eigentum)
118719545936,Wohnung (Miete)
118719545213,Haus (Eigentum)
118719540468,Wohnung (Miete)
118719539315,Wohnung (Miete)
118719538617,Wohnung (Miete)
118719538578,Wohnung (Eigentum)
118719534721,Wohnung (Miete)
118719536194,Wohnung (Miete)
118718418410,Wohnung (Miete)
118718417818,Wohnung (Miete)
118717793319,Haus (Miete)
