respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,switzerland_region_primary_regional_languages,collector_type_source,Wie alt sind Sie?,Was ist Ihr Geschlecht?,Wie viele Personen leben in Ihrem Haushalt?,In welcher Art von Unterkunft wohnen Sie?,,,,Welche Art von Strom beziehen Sie hauptsächlich?,"Denken Sie, dass die zunehmende Erzeugung erneuerbarer Energien Herausforderungen für das Stromsystem mit sich bringt? Wenn ja, welche?Falls Sie es nicht wissen, können Sie gerne ‚wn‘ (weiss nicht) schreiben.",Welche der folgenden Konsequenzen der zunehmenden Einspeisung von erneuerbaren Energien ist aus Ihrer Sicht problematisch? (Nur eine Antwort möglich)?,"Bitte bewerten Sie, wie wichtig es für Sie ist, die folgenden Haushaltsgeräte jederzeit nutzen zu können (1 = sehr unwichtig, 5 = sehr wichtig)",,,,,,"Könnten Sie sich vorstellen, eines der folgenden Haushaltsgeräte für einen begrenzten Zeitraum nicht einzuschalten, wenn Sie vom Elektrizitätswerk darum gebeten werden?",,,,,,"Würde sich Ihre Bereitschaft erhöhen, die folgenden Haushaltsgeräte nicht zu nutzen, wenn Sie dafür eine finanzielle Belohnung erhalten würden?",,,,,,,,,,,,"Könnten Sie sich vorstellen, von Ihrem Elektrizitätswerk benachrichtigt zu werden (z. B. per SMS oder App), wenn das Stromnetz stark ausgelastet ist?","Könnten Sie sich vorstellen, einen intelligenten Zwischenstecker (Smart Plug) an Ihren Geräten zu installieren, damit Ihr Elektrizitätswerk Ihren Beitrag messen und Sie entsprechend vergüten kann?",Wie hoch ist Ihr monatliches Haushaltsnettoeinkommen?,Was ist Ihr höchster Bildungsabschluss?,Welche der folgenden Parteien entspricht am ehesten Ihrer politischen Präferenz?,Gender,Age,Device
118867080434,460861130,05/16/2025 06:38:33 PM,05/16/2025 06:41:03 PM,,,,,4a599ef53bd5d1346321a2285d,386207,smc,39,Weiblich,3,,Wohnung (Miete),,,Weiss nicht,wn,Steigende Strompreise für Verbraucher,4,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall",Nein,,Nein,,Nein,,Nein,,Nein,,Nein,,Nein,Nein,7.001 - 10.000 CHF,Berufsausbildung/Lehre/Maturität,Ich habe keine feste Parteipräferenz,female,45_to_60,pc_windows
118867074861,460861130,05/16/2025 06:30:16 PM,05/16/2025 06:37:26 PM,,,,,1aeab61824b4a76d0acc04e0da,386207,smc,54,Männlich,4,,Wohnung (Miete),,,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)",Wn,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,4,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, f",14%,"Ja, +",10%,"Ja, +",11%,"Ja, f",10%,"Ja, f",20%,"Ja, f",10%,Ja,Nein,Über 10.000 CHF,Berufsausbildung/Lehre/Maturität,Schweizerische Volkspartei (SVP),male,45_to_60,ios_mobile
118867075571,460861130,05/16/2025 06:32:50 PM,05/16/2025 06:35:33 PM,,,,,9b6cc0a41bbd314fb148b32e02,386207,smc,20,Weiblich,2,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,"Ja, es muss Geld investiert werden um die Anlagen zu bauen und der Bau bringt auch Risiken",Herausforderungen für die Stabilität der Netze,4,5 = sehr wichtig,2,4,4,4,"Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, +",4%,"Ja, +",5%,"Ja, f",0%,"Ja, +",2%,"Ja, +",4%,"Ja, f",0%,Ja,Nein,5.001 - 7.000 CHF,Berufsausbildung/Lehre/Maturität,FDP.Die Liberalen (FDP),female,18_to_29,ios_mobile
118867072484,460861130,05/16/2025 06:29:24 PM,05/16/2025 06:33:20 PM,,,,,12de5baa45330bcb1cd287291e,386207,smc,42,Weiblich,2,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Weiss nicht,Herausforderungen für die Stabilität der Netze,4,5 = sehr wichtig,1 = sehr unwichtig,4,5 = sehr wichtig,5 = sehr wichtig,"Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, f",10%,"Ja, +",15%,Nein,0%,"Ja, +",7%,"Ja, +",60%,"Ja, +",7%,Nein,Nein,Über 10.000 CHF,Universität/Master,Keine Angabe,female,30_to_44,ios_mobile
118867062931,460861130,05/16/2025 06:18:38 PM,05/16/2025 06:20:04 PM,,,,,bdfb9f9788863b950dc69a44e0,386207,smc,24,Divers,3,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),wn,Steigende Strompreise für Verbraucher,3,2,3,3,1 = sehr unwichtig,2,"Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall",Nein,6%,"Ja, +",8%,"Ja, +",8%,"Ja, f",8%,"Ja, +",8%,"Ja, f",6%,Nein,Ja,7.001 - 10.000 CHF,Berufsausbildung/Lehre/Maturität,Grüne Partei der Schweiz (GPS),male,18_to_29,ios_mobile
118867061539,460861130,05/16/2025 06:16:52 PM,05/16/2025 06:19:40 PM,,,,,9291af11ecd24404faa7ff5f03,386207,smc,42,Männlich,4,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Stromänpässe rationierung,Steigende Strompreise für Verbraucher,3,5 = sehr wichtig,2,2,4,3,"Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, aber maximal für 3 Stunden","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Nein, auf keinen Fall","Ja, f",5%,"Ja, f",12%,"Ja, f",33%,"Ja, f",2%,"Ja, f",6%,"Ja, +",6%,Ja,Ja,5.001 - 7.000 CHF,Fachhochschule/Bachelor,Sozialdemokratische Partei der Schweiz (SP),male,30_to_44,android_mobile
118867060721,460861130,05/16/2025 06:15:57 PM,05/16/2025 06:18:06 PM,,,,,a12c0fee4b12fea2bd1d5ef1fb,386207,smc,29,Weiblich,1,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Wn,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,3,5 = sehr wichtig,2,4,3,3,"Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, aber maximal für 3 Stunden","Ja, für 3 bis 6 Stunden","Ja, f",,Nein,,"Ja, +",4%,Nein,,"Ja, +",3%,"Ja, +",3%,Nein,Ja,5.001 - 7.000 CHF,Berufsausbildung/Lehre/Maturität,Die Mitte,female,18_to_29,android_mobile
118867051868,460861130,05/16/2025 06:06:49 PM,05/16/2025 06:10:22 PM,,,,,aad0e24ad79ff05ed5881c74b6,386207,smc,33,Weiblich,1,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Weiss nicht ,Herausforderungen für die Stabilität der Netze,5 = sehr wichtig,5 = sehr wichtig,4,5 = sehr wichtig,5 = sehr wichtig,4,"Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, +",20%,"Ja, +",20%,"Ja, +",20%,"Ja, +",20%,"Ja, +",20%,"Ja, +",20%,Nein,Ja,7.001 - 10.000 CHF,Berufsausbildung/Lehre/Maturität,Ich habe keine feste Parteipräferenz,female,30_to_44,android_mobile
118867051937,460861130,05/16/2025 06:06:46 PM,05/16/2025 06:10:07 PM,,,,,0d756c1c5a803fd81f2c52bcf1,386207,smc,47,Männlich,1,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Sehr teuer ,Herausforderungen für die Stabilität der Netze,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",5%,"Ja, f",5%,Nein,0%,"Ja, f",5%,"Ja, f",5%,"Ja, f",5%,Ja,Ja,3.000 - 5.000 CHF,Berufsausbildung/Lehre/Maturität,Schweizerische Volkspartei (SVP),male,45_to_60,android_mobile
118867049431,460861130,05/16/2025 06:04:12 PM,05/16/2025 06:07:11 PM,,,,,7e7b06e79ac64192316c57e42b,386207,smc,19,Männlich,1,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Wn,Keine der genannten Konsequenzen ist problematisch,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",23%,"Ja, f",28%,"Ja, f",51%,"Ja, f",48%,"Ja, f",8%,"Ja, f",27%,Ja,Ja,Keine Angabe,Sekundarschule/Realschule,Keine Angabe,male,18_to_29,android_mobile
118867048965,460861130,05/16/2025 06:03:36 PM,05/16/2025 06:07:07 PM,,,,,d0e8586397df20c1ad422f63fe,386207,smc,57,Männlich,2,,Wohnung (Miete),,,Weiss nicht,JA PRODUZIERT ZU WENIG STROM,Steigende Strompreise für Verbraucher,4,5 = sehr wichtig,4,4,4,4,"Ja, aber maximal für 3 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Ja, +",5%,"Ja, +",5%,"Ja, +",5%,"Ja, +",5%,"Ja, +",5%,"Ja, +",5%,Ja,Ja,5.001 - 7.000 CHF,Berufsausbildung/Lehre/Maturität,Schweizerische Volkspartei (SVP),male,45_to_60,pc_windows
118867015928,460861130,05/16/2025 05:24:09 PM,05/16/2025 06:05:06 PM,,,,,e3b2d46763363a50f1eafcd309,386207,smc,49,Männlich,4,Wohnung (Eigentum),,,,Eine Mischung aus konventionellem Strom und Ökostrom,Den Wegfall von Kernenergie zu Kompensieren,Herausforderungen für die Stabilität der Netze,3,5 = sehr wichtig,2,5 = sehr wichtig,3,3,"Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Ja, für 3 bis 6 Stunden","Ja, für mehr als 24 Stunden","Ja, f",10%,"Ja, +",20%,"Ja, f",10%,Nein,0%,"Ja, +",10%,"Ja, f",10%,Ja,Ja,7.001 - 10.000 CHF,Fachhochschule/Bachelor,Die Mitte,male,45_to_60,pc_windows
118867045143,460861130,05/16/2025 06:00:08 PM,05/16/2025 06:04:43 PM,,,,,ccc16d977dd54845419c08d85e,386207,smc,35,Männlich,1,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Wn,Keine der genannten Konsequenzen ist problematisch,1 = sehr unwichtig,3,5 = sehr wichtig,5 = sehr wichtig,1 = sehr unwichtig,1 = sehr unwichtig,"Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für 6 bis 12 Stunden","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",,"Ja, +",10%,"Ja, +",10%,Nein,,"Ja, f",,"Ja, f",,Ja,Ja,Unter 3.000 CHF,Berufsausbildung/Lehre/Maturität,Ich habe keine feste Parteipräferenz,male,30_to_44,android_mobile
118867046914,460861130,05/16/2025 06:02:11 PM,05/16/2025 06:04:04 PM,,,,,17f6fc0dcd3845fe89f15d1325,386207,smc,30,Weiblich,5,Wohnung (Eigentum),,,,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)",Es kann wieder benötigt werden,Steigende Strompreise für Verbraucher,4,4,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,"Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, f",5%,"Ja, f",6%,"Ja, +",8%,"Ja, +",10%,Nein,0%,"Ja, f",8%,Ja,Ja,7.001 - 10.000 CHF,Fachhochschule/Bachelor,Die Mitte,female,30_to_44,ios_mobile
118867037998,460861130,05/16/2025 05:50:32 PM,05/16/2025 06:04:03 PM,,,,,88ceb593219101ccf16ef08ce6,386207,smc,49,Männlich,5,,Wohnung (Miete),,,Eine Mischung aus konventionellem Strom und Ökostrom,Wn,Steigende Strompreise für Verbraucher,3,3,1 = sehr unwichtig,3,5 = sehr wichtig,3,"Ja, für maximal 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, +",,Nein,,Nein,,"Ja, +",,Nein,,"Ja, +",,Nein,Ja,7.001 - 10.000 CHF,Sekundarschule/Realschule,Ich habe keine feste Parteipräferenz,male,45_to_60,android_mobile
118867044486,460861130,05/16/2025 05:59:26 PM,05/16/2025 06:03:20 PM,,,,,921a1bc23370f0f9418301bf4c,386207,smc,58,Männlich,2,,Wohnung (Miete),,,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)","entsorgung der Windräder, problematisch! ",Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,4,5 = sehr wichtig,5 = sehr wichtig,2,4,5 = sehr wichtig,"Ja, für maximal 24 Stunden","Ja, aber maximal für 3 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, +",8%,"Ja, +",12%,"Ja, +",15%,"Ja, +",10%,"Ja, +",20%,"Ja, +",15%,Ja,Ja,3.000 - 5.000 CHF,Berufsausbildung/Lehre/Maturität,Evangelische Volkspartei (EVP),male,45_to_60,android_mobile
118866955443,460861130,05/16/2025 04:10:33 PM,05/16/2025 06:03:18 PM,,,,,36e143fef9415f2b2676d49aeb,386207,smc,35,Männlich,2,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),Weiss nicht,Steigende Strompreise für Verbraucher,3,2,1 = sehr unwichtig,4,3,3,"Ja, für 6 bis 12 Stunden","Ja, für maximal 24 Stunden","Nein, auf keinen Fall","Ja, für maximal 24 Stunden","Ja, für 3 bis 6 Stunden","Ja, für 6 bis 12 Stunden","Ja, +",5%,"Ja, f",5%,Nein,,Nein,,Nein,,Nein,,Ja,Ja,5.001 - 7.000 CHF,Fachhochschule/Bachelor,Keine Angabe,male,30_to_44,android_mobile
118867044801,460861130,05/16/2025 05:59:55 PM,05/16/2025 06:02:59 PM,,,,,002ffc353d993ef98d82f99d76,386207,smc,40,Weiblich,1,,Wohnung (Miete),,,"Ökostrom (aus erneuerbaren Energien wie Wasser, Sonne, Wind)",Wn,Steigende Strompreise für Verbraucher,4,2,4,2,4,2,"Ja, für mehr als 24 Stunden","Ja, für maximal 24 Stunden","Ja, für 6 bis 12 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, +",20%,"Ja, +",5%,"Ja, +",5%,"Ja, f",0%,"Ja, +",30%,"Ja, f",0%,Ja,Ja,3.000 - 5.000 CHF,Promotion oder höher,Grünliberale Partei (GLP),female,30_to_44,android_mobile
118867044223,460861130,05/16/2025 05:59:14 PM,05/16/2025 06:02:58 PM,,,,,44a7ed5f0c3f13ddc35309b65b,386207,smc,64,Männlich,2,,Wohnung (Miete),,,Konventionellen Strom (Kernenergie und fossilen Brennstoffen),speichern,Steigende Strompreise für Verbraucher,1 = sehr unwichtig,5 = sehr wichtig,5 = sehr wichtig,3,5 = sehr wichtig,4,"Ja, für mehr als 24 Stunden","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden","Ja, für mehr als 24 Stunden",Nein,10%,Nein,15%,Nein,8%,Nein,10%,Nein,15%,Nein,5%,Nein,Ja,5.001 - 7.000 CHF,Berufsausbildung/Lehre/Maturität,Keine Angabe,male,60_above,pc_windows
118867043137,460861130,05/16/2025 05:57:10 PM,05/16/2025 06:02:13 PM,,,,,ae4bfbb29ab34a75d76675303a,386207,smc,38,Weiblich,4,,Wohnung (Miete),,,Weiss nicht,Weiss nicht,Notwendigkeit kostspieliger Netzinfrastruktur-Upgrades,5 = sehr wichtig,5 = sehr wichtig,5 = sehr wichtig,3,4,3,"Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Nein, auf keinen Fall","Ja, f",3%,"Ja, f",3%,"Ja, f",3%,"Ja, f",3%,"Ja, f",3%,"Ja, f",3%,Ja,Ja,5.001 - 7.000 CHF,Sekundarschule/Realschule,Keine Angabe,female,30_to_44,android_mobile
